series	point	case	invocation	phase	round	messages	elapsed_ns	semantic_pass
two-process-prototype	a	unconfined	2	measured	15	65536	29663670	1
two-process-prototype	a	unconfined	2	measured	16	65536	29671315	1
two-process-prototype	a	unconfined	2	measured	17	65536	29671223	1
two-process-prototype	a	sender-confined	2	warmup	0	65536	37289501	1
two-process-prototype	a	sender-confined	2	warmup	1	65536	37288642	1
two-process-prototype	a	sender-confined	2	warmup	2	65536	37313273	1
two-process-prototype	a	sender-confined	2	measured	3	65536	37308947	1
two-process-prototype	a	sender-confined	2	measured	4	65536	37288274	1
two-process-prototype	a	sender-confined	2	measured	5	65536	37296264	1
two-process-prototype	a	sender-confined	2	measured	6	65536	37322938	1
two-process-prototype	a	sender-confined	2	measured	7	65536	37298490	1
two-process-prototype	a	sender-confined	2	measured	8	65536	37314337	1
two-process-prototype	a	sender-confined	2	measured	9	65536	37292357	1
two-process-prototype	a	sender-confined	2	measured	10	65536	37309667	1
two-process-prototype	a	sender-confined	2	measured	11	65536	37305504	1
two-process-prototype	a	sender-confined	2	measured	12	65536	37281721	1
two-process-prototype	a	sender-confined	2	measured	13	65536	37298495	1
two-process-prototype	a	sender-confined	2	measured	14	65536	37299140	1
two-process-prototype	a	sender-confined	2	measured	15	65536	37261979	1
two-process-prototype	a	sender-confined	2	measured	16	65536	37297120	1
two-process-prototype	a	sender-confined	2	measured	17	65536	37293759	1
two-process-prototype	a	receiver-confined	2	warmup	0	65536	37824162	1
two-process-prototype	a	receiver-confined	2	warmup	1	65536	37849655	1
two-process-prototype	a	receiver-confined	2	warmup	2	65536	37838891	1
two-process-prototype	a	receiver-confined	2	measured	3	65536	37836737	1
two-process-prototype	a	receiver-confined	2	measured	4	65536	37833989	1
two-process-prototype	a	receiver-confined	2	measured	5	65536	37845552	1
two-process-prototype	a	receiver-confined	2	measured	6	65536	37826507	1
two-process-prototype	a	receiver-confined	2	measured	7	65536	37820488	1
two-process-prototype	a	receiver-confined	2	measured	8	65536	37842719	1
two-process-prototype	a	receiver-confined	2	measured	9	65536	37867518	1
two-process-prototype	a	receiver-confined	2	measured	10	65536	37856852	1
two-process-prototype	a	receiver-confined	2	measured	11	65536	37843688	1
two-process-prototype	a	receiver-confined	2	measured	12	65536	37835037	1
two-process-prototype	a	receiver-confined	2	measured	13	65536	37847097	1
two-process-prototype	a	receiver-confined	2	measured	14	65536	37828083	1
two-process-prototype	a	receiver-confined	2	measured	15	65536	37851787	1
two-process-prototype	a	receiver-confined	2	measured	16	65536	37834297	1
two-process-prototype	a	receiver-confined	2	measured	17	65536	37835636	1
two-process-prototype	a	both-confined	2	warmup	0	65536	48502291	1
two-process-prototype	a	both-confined	2	warmup	1	65536	48467946	1
two-process-prototype	a	both-confined	2	warmup	2	65536	48484956	1
two-process-prototype	a	both-confined	2	measured	3	65536	48471288	1
two-process-prototype	a	both-confined	2	measured	4	65536	48481361	1
two-process-prototype	a	both-confined	2	measured	5	65536	48481018	1
two-process-prototype	a	both-confined	2	measured	6	65536	48485434	1
two-process-prototype	a	both-confined	2	measured	7	65536	48483451	1
two-process-prototype	a	both-confined	2	measured	8	65536	48502478	1
two-process-prototype	a	both-confined	2	measured	9	65536	48497509	1
two-process-prototype	a	both-confined	2	measured	10	65536	48511283	1
two-process-prototype	a	both-confined	2	measured	11	65536	48505677	1
two-process-prototype	a	both-confined	2	measured	12	65536	48509954	1
two-process-prototype	a	both-confined	2	measured	13	65536	48488733	1
two-process-prototype	a	both-confined	2	measured	14	65536	48508688	1
two-process-prototype	a	both-confined	2	measured	15	65536	48510221	1
two-process-prototype	a	both-confined	2	measured	16	65536	48508288	1
two-process-prototype	a	both-confined	2	measured	17	65536	48489374	1
two-process-prototype	b	unconfined	0	warmup	0	65536	28949800	1
two-process-prototype	b	unconfined	0	warmup	1	65536	28975683	1
two-process-prototype	b	unconfined	0	warmup	2	65536	28972998	1
two-process-prototype	b	unconfined	0	measured	3	65536	28711564	1
two-process-prototype	b	unconfined	0	measured	4	65536	26858487	1
two-process-prototype	b	unconfined	0	measured	5	65536	26835217	1
two-process-prototype	b	unconfined	0	measured	6	65536	26821840	1
two-process-prototype	b	unconfined	0	measured	7	65536	26833315	1
two-process-prototype	b	unconfined	0	measured	8	65536	26826610	1
two-process-prototype	b	unconfined	0	measured	9	65536	26843079	1
two-process-prototype	b	unconfined	0	measured	10	65536	26831318	1
two-process-prototype	b	unconfined	0	measured	11	65536	26824588	1
two-process-prototype	b	unconfined	0	measured	12	65536	26826876	1
two-process-prototype	b	unconfined	0	measured	13	65536	26826856	1
two-process-prototype	b	unconfined	0	measured	14	65536	26834586	1
two-process-prototype	b	unconfined	0	measured	15	65536	26810235	1
two-process-prototype	b	unconfined	0	measured	16	65536	26837543	1
two-process-prototype	b	unconfined	0	measured	17	65536	26833723	1
two-process-prototype	b	sender-confined	0	warmup	0	65536	36917615	1
two-process-prototype	b	sender-confined	0	warmup	1	65536	36954711	1
two-process-prototype	b	sender-confined	0	warmup	2	65536	36909955	1
two-process-prototype	b	sender-confined	0	measured	3	65536	36947044	1
two-process-prototype	b	sender-confined	0	measured	4	65536	36945906	1
two-process-prototype	b	sender-confined	0	measured	5	65536	36936834	1
two-process-prototype	b	sender-confined	0	measured	6	65536	37040501	1
two-process-prototype	b	sender-confined	0	measured	7	65536	36932593	1
two-process-prototype	b	sender-confined	0	measured	8	65536	36922925	1
two-process-prototype	b	sender-confined	0	measured	9	65536	37014309	1
two-process-prototype	b	sender-confined	0	measured	10	65536	36982146	1
two-process-prototype	b	sender-confined	0	measured	11	65536	36938402	1
two-process-prototype	b	sender-confined	0	measured	12	65536	36993993	1
two-process-prototype	b	sender-confined	0	measured	13	65536	37007546	1
two-process-prototype	b	sender-confined	0	measured	14	65536	36907489	1
two-process-prototype	b	sender-confined	0	measured	15	65536	36956667	1
two-process-prototype	b	sender-confined	0	measured	16	65536	36944465	1
two-process-prototype	b	sender-confined	0	measured	17	65536	36943806	1
two-process-prototype	b	receiver-confined	0	warmup	0	65536	36816372	1
two-process-prototype	b	receiver-confined	0	warmup	1	65536	36810889	1
two-process-prototype	b	receiver-confined	0	warmup	2	65536	36832449	1
two-process-prototype	b	receiver-confined	0	measured	3	65536	36810470	1
two-process-prototype	b	receiver-confined	0	measured	4	65536	36812421	1
two-process-prototype	b	receiver-confined	0	measured	5	65536	36831638	1
two-process-prototype	b	receiver-confined	0	measured	6	65536	36846818	1
two-process-prototype	b	receiver-confined	0	measured	7	65536	36859694	1
two-process-prototype	b	receiver-confined	0	measured	8	65536	36855446	1
two-process-prototype	b	receiver-confined	0	measured	9	65536	36853937	1
two-process-prototype	b	receiver-confined	0	measured	10	65536	36834307	1
two-process-prototype	b	receiver-confined	0	measured	11	65536	36815466	1
two-process-prototype	b	receiver-confined	0	measured	12	65536	36848657	1
two-process-prototype	b	receiver-confined	0	measured	13	65536	36814781	1
two-process-prototype	b	receiver-confined	0	measured	14	65536	36808216	1
two-process-prototype	b	receiver-confined	0	measured	15	65536	36789847	1
two-process-prototype	b	receiver-confined	0	measured	16	65536	36799025	1
two-process-prototype	b	receiver-confined	0	measured	17	65536	36817441	1
two-process-prototype	b	both-confined	0	warmup	0	65536	48881146	1
two-process-prototype	b	both-confined	0	warmup	1	65536	48891506	1
two-process-prototype	b	both-confined	0	warmup	2	65536	48877458	1
two-process-prototype	b	both-confined	0	measured	3	65536	48884944	1
two-process-prototype	b	both-confined	0	measured	4	65536	48838977	1
two-process-prototype	b	both-confined	0	measured	5	65536	48929964	1
two-process-prototype	b	both-confined	0	measured	6	65536	48942459	1
two-process-prototype	b	both-confined	0	measured	7	65536	48918567	1
two-process-prototype	b	both-confined	0	measured	8	65536	49102895	1
two-process-prototype	b	both-confined	0	measured	9	65536	49116940	1
two-process-prototype	b	both-confined	0	measured	10	65536	49372842	1
two-process-prototype	b	both-confined	0	measured	11	65536	48920394	1
two-process-prototype	b	both-confined	0	measured	12	65536	48819007	1
two-process-prototype	b	both-confined	0	measured	13	65536	49768339	1
two-process-prototype	b	both-confined	0	measured	14	65536	49049460	1
two-process-prototype	b	both-confined	0	measured	15	65536	49283069	1
two-process-prototype	b	both-confined	0	measured	16	65536	49166278	1
two-process-prototype	b	both-confined	0	measured	17	65536	48916832	1
two-process-prototype	b	unconfined	1	warmup	0	65536	26989414	1
two-process-prototype	b	unconfined	1	warmup	1	65536	26959568	1
two-process-prototype	b	unconfined	1	warmup	2	65536	26975890	1
two-process-prototype	b	unconfined	1	measured	3	65536	26962381	1
two-process-prototype	b	unconfined	1	measured	4	65536	26960657	1
two-process-prototype	b	unconfined	1	measured	5	65536	26978065	1
two-process-prototype	b	unconfined	1	measured	6	65536	26942436	1
two-process-prototype	b	unconfined	1	measured	7	65536	26948858	1
two-process-prototype	b	unconfined	1	measured	8	65536	26965842	1
two-process-prototype	b	unconfined	1	measured	9	65536	26963577	1
