experiment	point	arm	sample	operations	warmups	create_mean_ns	remove_mean_ns
exact-r1	notify-B	original-cb1	2	128	16	21488.484375	9690.1953125
exact-r1	notify-B	original-cb1	3	128	16	21338.7109375	9510.828125
exact-r1	notify-B	original-cb1	4	128	16	21317.671875	9588.2734375
exact-r1	notify-B	original-cb1	5	128	16	21468.3125	9547.4921875
exact-r1	notify-B	original-cb1	6	128	16	21447.6171875	9671.7109375
exact-r1	notify-B	original-cb1	7	128	16	21398.1953125	9515.703125
exact-r1	notify-B	original-cb1	8	128	16	21556.96875	9511.0390625
exact-r1	notify-B	original-cb1	9	128	16	21576.8125	9568.3203125
exact-r1	notify-B	control-scx	1	128	16	21337.8515625	9771.109375
exact-r1	notify-B	control-scx	2	128	16	21153.71875	9601.765625
exact-r1	notify-B	control-scx	3	128	16	21387.265625	9591.546875
exact-r1	notify-B	control-scx	4	128	16	21433.296875	9546.515625
exact-r1	notify-B	control-scx	5	128	16	21595.328125	9527.1484375
exact-r1	notify-B	control-scx	6	128	16	21555.90625	9488.53125
exact-r1	notify-B	control-scx	7	128	16	21382.3828125	9601.625
exact-r1	notify-B	control-scx	8	128	16	21569.5625	9616.953125
exact-r1	notify-B	control-scx	9	128	16	21459.78125	9564.8046875
exact-r1	notify-B	control-disabled	1	128	16	21135.1796875	9518.953125
exact-r1	notify-B	control-disabled	2	128	16	21099.8359375	9520.453125
exact-r1	notify-B	control-disabled	3	128	16	21219.8515625	9498.828125
exact-r1	notify-B	control-disabled	4	128	16	21121.203125	9602.0703125
exact-r1	notify-B	control-disabled	5	128	16	21403.625	9566.4140625
exact-r1	notify-B	control-disabled	6	128	16	21603.875	9482.7578125
exact-r1	notify-B	control-disabled	7	128	16	21632.1015625	9471.4609375
exact-r1	notify-B	control-disabled	8	128	16	21475.9140625	9513.6640625
exact-r1	notify-B	control-disabled	9	128	16	21285.4609375	9514.75
exact-r1	guard-B	original-cb0	1	128	16	21397.5859375	7487.125
exact-r1	guard-B	original-cb0	2	128	16	21696.671875	7028.0234375
exact-r1	guard-B	original-cb0	3	128	16	21968.71875	6970.6796875
exact-r1	guard-B	original-cb0	4	128	16	21794.4296875	7007.984375
exact-r1	guard-B	original-cb0	5	128	16	21553.3203125	7010.859375
exact-r1	guard-B	original-cb0	6	128	16	21802.671875	6963.2421875
exact-r1	guard-B	original-cb0	7	128	16	21925.2421875	6987.2265625
exact-r1	guard-B	original-cb0	8	128	16	21754.7265625	6914.4296875
exact-r1	guard-B	original-cb0	9	128	16	21207.2734375	6952.015625
exact-r1	guard-B	original-cb1	1	128	16	21315.765625	6967.203125
exact-r1	guard-B	original-cb1	2	128	16	21688.640625	6982.734375
exact-r1	guard-B	original-cb1	3	128	16	21558.7890625	6979.3515625
exact-r1	guard-B	original-cb1	4	128	16	21608.6328125	6934.2421875
exact-r1	guard-B	original-cb1	5	128	16	21563.546875	6939.1171875
exact-r1	guard-B	original-cb1	6	128	16	21665.28125	6989.3359375
exact-r1	guard-B	original-cb1	7	128	16	21663.3515625	7053.7109375
exact-r1	guard-B	original-cb1	8	128	16	21273.3359375	6952.109375
exact-r1	guard-B	original-cb1	9	128	16	21334.890625	6919.28125
exact-r1	guard-B	control-scx	1	128	16	21189.9140625	6982.5078125
exact-r1	guard-B	control-scx	2	128	16	21153.890625	7053.5546875
exact-r1	guard-B	control-scx	3	128	16	21387.4453125	6916.2578125
exact-r1	guard-B	control-scx	4	128	16	21751.0625	6915.6171875
exact-r1	guard-B	control-scx	5	128	16	21513.484375	6903.953125
exact-r1	guard-B	control-scx	6	128	16	21586.0390625	6936.578125
exact-r1	guard-B	control-scx	7	128	16	21191.9140625	7019.6328125
exact-r1	guard-B	control-scx	8	128	16	21495.5390625	6961.0078125
exact-r1	guard-B	control-scx	9	128	16	21131.0546875	6977.875
exact-r1	guard-B	control-disabled	1	128	16	21312.4921875	6969.4921875
exact-r1	guard-B	control-disabled	2	128	16	21336.5546875	6893.046875
exact-r1	guard-B	control-disabled	3	128	16	21436.1796875	6952.03125
exact-r1	guard-B	control-disabled	4	128	16	21451.9296875	6921.1484375
exact-r1	guard-B	control-disabled	5	128	16	21487.9375	6924.9609375
exact-r1	guard-B	control-disabled	6	128	16	21196.9921875	6900.2890625
exact-r1	guard-B	control-disabled	7	128	16	21247.40625	6914.0546875
exact-r1	guard-B	control-disabled	8	128	16	21459.53125	6938.5390625
exact-r1	guard-B	control-disabled	9	128	16	21127.015625	6925.1875
exact-r1	base-B	original-cb0	1	128	16	22468.2421875	6513.921875
exact-r1	base-B	original-cb0	2	128	16	21510.015625	6509.65625
exact-r1	base-B	original-cb0	3	128	16	21600.3515625	6515.25
exact-r1	base-B	original-cb0	4	128	16	21246.625	6518.6015625
exact-r1	base-B	original-cb0	5	128	16	21235.234375	6494.484375
exact-r1	base-B	original-cb0	6	128	16	21354.171875	6515.75
exact-r1	base-B	original-cb0	7	128	16	21516.7734375	6539.3671875
exact-r1	base-B	original-cb0	8	128	16	21452.5703125	6548.578125
exact-r1	base-B	original-cb0	9	128	16	21339.4765625	6552.75
exact-r1	base-B	original-cb1	1	128	16	21213.4921875	6494.8828125
exact-r1	base-B	original-cb1	2	128	16	21401.328125	6522.2421875
exact-r1	base-B	original-cb1	3	128	16	21363.34375	6546.9140625
exact-r1	base-B	original-cb1	4	128	16	21215.171875	6537.40625
exact-r1	base-B	original-cb1	5	128	16	21287.1484375	6544.2265625
exact-r1	base-B	original-cb1	6	128	16	21510.8359375	6537.34375
exact-r1	base-B	original-cb1	7	128	16	21277.5859375	6565.15625
exact-r1	base-B	original-cb1	8	128	16	21322.125	6486.6796875
