metric	point	sample	operations	warmups	mean_ns
cycle.rmdir_ns	B1	9	32	16	7690.6875
cycle.rmdir_ns	B2	1	32	16	8739.375
cycle.rmdir_ns	B2	2	32	16	7581.9375
cycle.rmdir_ns	B2	3	32	16	7685.96875
cycle.rmdir_ns	B2	4	32	16	7510.25
cycle.rmdir_ns	B2	5	32	16	7654.90625
cycle.rmdir_ns	B2	6	32	16	7636.84375
cycle.rmdir_ns	B2	7	32	16	7574.71875
cycle.rmdir_ns	B2	8	32	16	7511.5625
cycle.rmdir_ns	B2	9	32	16	7663.125
cycle.rmdir_ns	A2	1	32	16	9843.125
cycle.rmdir_ns	A2	2	32	16	9765.53125
cycle.rmdir_ns	A2	3	32	16	9743.3125
cycle.rmdir_ns	A2	4	32	16	9718.1875
cycle.rmdir_ns	A2	5	32	16	9715.78125
cycle.rmdir_ns	A2	6	32	16	9734.03125
cycle.rmdir_ns	A2	7	32	16	9773.09375
cycle.rmdir_ns	A2	8	32	16	9867.5625
cycle.rmdir_ns	A2	9	32	16	9832.4375
cycle.sequence_ns	A1	1	32	16	30857.15625
cycle.sequence_ns	A1	2	32	16	29555.78125
cycle.sequence_ns	A1	3	32	16	30040.3125
cycle.sequence_ns	A1	4	32	16	29470.625
cycle.sequence_ns	A1	5	32	16	30023.46875
cycle.sequence_ns	A1	6	32	16	30302.40625
cycle.sequence_ns	A1	7	32	16	29679.375
cycle.sequence_ns	A1	8	32	16	29599.5
cycle.sequence_ns	A1	9	32	16	30131.90625
cycle.sequence_ns	B1	1	32	16	28775.84375
cycle.sequence_ns	B1	2	32	16	27317.25
cycle.sequence_ns	B1	3	32	16	27987.8125
cycle.sequence_ns	B1	4	32	16	28153.90625
cycle.sequence_ns	B1	5	32	16	27196.75
cycle.sequence_ns	B1	6	32	16	27291.34375
cycle.sequence_ns	B1	7	32	16	27488.84375
cycle.sequence_ns	B1	8	32	16	27059.90625
cycle.sequence_ns	B1	9	32	16	27224.15625
cycle.sequence_ns	B2	1	32	16	28567.46875
cycle.sequence_ns	B2	2	32	16	27141.5625
cycle.sequence_ns	B2	3	32	16	28011.78125
cycle.sequence_ns	B2	4	32	16	27309.3125
cycle.sequence_ns	B2	5	32	16	27039.625
