experiment	arm	metric	contrast	min_change_percent	max_change_percent	min_drop_first_percent	max_drop_first_percent	max_cv_percent	old_drift_percent	new_drift_percent	stability_pass	signal_direction	signal_pass
exact-r1	control-scx	remove_ns	notify-over-base	46.583216155572174	47.52910103137877	46.6744898460403	47.266898216410326	0.7816780476907114	-0.4114285714285737	0.23120518970745074	True	slower	True
exact-r1	control-disabled	create_ns	guard-over-base	-0.25762399077278175	1.1638881665751777	-0.35864221845645083	1.300666430572095	0.7647135828866362	0.3599344805897742	1.0614288436738617	True	slower	False
exact-r1	control-disabled	create_ns	notify-over-guard	-1.4913885684009864	0.8194212911139864	-1.5737975601425425	1.1753419818002264	0.9133659101994769	1.0614288436738617	1.2708764814068685	True	slower	False
exact-r1	control-disabled	create_ns	notify-over-base	-0.7022652825836251	0.9216352589846544	-0.5796687001225931	1.1025579255058648	0.9133659101994769	0.3599344805897742	1.2708764814068685	True	slower	False
exact-r1	control-disabled	remove_ns	guard-over-base	6.11176470588235	6.591027976695107	5.7525708868953584	6.555471851482664	0.7982039932514418	0.17015698936369006	0.2810237682300487	True	slower	True
exact-r1	control-disabled	remove_ns	notify-over-guard	37.397886946564455	38.134269174158945	37.42787628744988	38.35564157475535	0.7982039932514418	0.2810237682300487	-0.25356597629453415	True	slower	True
exact-r1	control-disabled	remove_ns	notify-over-base	46.20504201680673	46.82612120228238	45.85098107786525	46.902451620816144	0.5996203827248852	0.17015698936369006	-0.25356597629453415	True	slower	True
exact-r2	original-cb0	create_ns	guard-over-base	1.7526796735026329	2.0898064609288003	1.5292250987313905	1.8512074887227614	1.6724550545542636	0.06335760690951986	-0.2670773254165093	True	slower	False
exact-r2	original-cb0	create_ns	notify-over-guard	-1.2032551537408454	-0.24727938409886407	-0.9649107251749722	-0.11417468672674236	1.6228641452714538	-0.2670773254165093	0.6979570758772313	True	slower	False
exact-r2	original-cb0	create_ns	notify-over-base	0.7975426923701345	1.5653749204806777	0.7534751810650775	1.5290163679429147	1.6724550545542636	0.06335760690951986	0.6979570758772313	True	slower	False
exact-r2	original-cb0	remove_ns	guard-over-base	5.7451600742511655	6.518476710245147	5.691085030242937	6.63239449850328	2.6808386294695574	0.23521139728963636	-0.4924891752293825	True	slower	True
exact-r2	original-cb0	remove_ns	notify-over-guard	38.40865487701242	39.428515987247216	38.44418284164976	39.46103378779433	2.6808386294695574	-0.4924891752293825	0.24072971600705984	True	slower	True
exact-r2	original-cb0	remove_ns	notify-over-base	47.08483052505499	47.78570053415827	47.13388406490229	47.891226552314414	2.390188090173338	0.23521139728963636	0.24072971600705984	True	slower	True
exact-r2	original-cb1	create_ns	guard-over-base	0.26282263410857265	2.1304711616782157	0.2991283549136359	2.155606380257802	2.1548177395643053	-0.44348558763864787	1.411006163813	True	slower	False
exact-r2	original-cb1	create_ns	notify-over-guard	-1.2040978425433946	0.4574856973765806	-1.2206946805223606	0.5532357568712287	2.1548177395643053	1.411006163813	0.2670600745921403	True	slower	False
exact-r2	original-cb1	create_ns	notify-over-base	0.453240209212713	1.1701859009033866	0.4642579517490475	1.3000832348953884	0.9813803588562333	-0.44348558763864787	0.2670600745921403	True	slower	False
exact-r2	original-cb1	remove_ns	guard-over-base	5.70428245094281	7.062320598585203	5.725605683586399	7.17815613246271	0.6351767925377788	0.5778076696732137	-0.6979773017153246	True	slower	True
