experiment	point	arm	metric	median_ns	cv_percent	drop_first_median_ns
root-reuse-r1	prototype-B	control-disabled	create_ns	21360.484375	1.4375112502533567	21400.80078125
root-reuse-r1	prototype-B	control-disabled	remove_ns	9121.8984375	0.316035415329994	9125.8828125
root-reuse-r1	notify-B	original-cb0	create_ns	21263.3515625	1.0222996988193052	21232.5
root-reuse-r1	notify-B	original-cb0	remove_ns	9645.671875	0.5669104241788987	9662.5078125
root-reuse-r1	notify-B	original-cb1	create_ns	21231.7734375	0.4925833855730497	21248.48828125
root-reuse-r1	notify-B	original-cb1	remove_ns	9604.9375	1.195928794303574	9616.6875
root-reuse-r1	notify-B	control-scx	create_ns	21164.8359375	0.9200129488796609	21170.1640625
root-reuse-r1	notify-B	control-scx	remove_ns	9612.8828125	0.257275675734895	9614.0234375
root-reuse-r1	notify-B	control-disabled	create_ns	21128.7109375	0.38406673135129193	21127.18359375
root-reuse-r1	notify-B	control-disabled	remove_ns	9578.59375	0.7905890360763143	9595.609375
mainline-r1	old-A	control-disabled	create_ns	18608.296875	7.044027910649545	18608.05859375
mainline-r1	old-A	control-disabled	remove_ns	9919.0078125	0.7495939607353351	9919.59765625
mainline-r1	latest	control-disabled	create_ns	18788.046875	7.50652716611484	18574.296875
mainline-r1	latest	control-disabled	remove_ns	9718.765625	0.5996611613463814	9717.359375
mainline-r1	old-B	control-disabled	create_ns	18766.90625	7.227179008870442	18759.90625
mainline-r1	old-B	control-disabled	remove_ns	9953.203125	0.5054026330950518	9962.35546875
