comparison	slot	schema_version	kernel_release	boot_id	run_mode	profile	phase	round	events	successful_events	setup_count	close_count	mmap_count	munmap_count	nop_count	validation_failures	cleanup_failures	sq_dropped	cq_overflow	outstanding	timed_ns	ns_per_event	cpu	semantic_pass	sq_entries	cq_entries	features	single_mmap	ring_bytes	sqes_bytes	user_ring_addr_ok	user_sqes_addr_ok	trace_enabled	input_sha256	target_sha256
release	new	1	7.1.3-bm-7.1.3	0a493c8c-1324-40d5-a8a9-0e8cc0370677	point	l0_standard_lifecycle	measured	9	512	512	512	512	1024	1024	512	0	0	0	0	0	4683106	9146.691406	2	true	64	128	0x3ffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	new	1	7.1.3-bm-7.1.3	0a493c8c-1324-40d5-a8a9-0e8cc0370677	point	l0_standard_lifecycle	measured	10	512	512	512	512	1024	1024	512	0	0	0	0	0	4613194	9010.144531	2	true	64	128	0x3ffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	new	1	7.1.3-bm-7.1.3	0a493c8c-1324-40d5-a8a9-0e8cc0370677	point	l0_standard_lifecycle	measured	11	512	512	512	512	1024	1024	512	0	0	0	0	0	4511358	8811.246094	2	true	64	128	0x3ffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	new	1	7.1.3-bm-7.1.3	0a493c8c-1324-40d5-a8a9-0e8cc0370677	point	l0_standard_lifecycle	measured	12	512	512	512	512	1024	1024	512	0	0	0	0	0	4559146	8904.582031	2	true	64	128	0x3ffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	new	1	7.1.3-bm-7.1.3	0a493c8c-1324-40d5-a8a9-0e8cc0370677	point	l0_standard_lifecycle	measured	13	512	512	512	512	1024	1024	512	0	0	0	0	0	4564479	8914.998047	2	true	64	128	0x3ffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	new	1	7.1.3-bm-7.1.3	0a493c8c-1324-40d5-a8a9-0e8cc0370677	point	l0_standard_lifecycle	measured	14	512	512	512	512	1024	1024	512	0	0	0	0	0	4653554	9088.972656	2	true	64	128	0x3ffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	0	512	512	512	512	1024	1024	512	0	0	0	0	0	4239269	8279.822266	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	1	512	512	512	512	1024	1024	512	0	0	0	0	0	4216841	8236.017578	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	2	512	512	512	512	1024	1024	512	0	0	0	0	0	4219325	8240.869141	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	3	512	512	512	512	1024	1024	512	0	0	0	0	0	4171060	8146.601562	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
