pair	slot	schema_version	kernel_release	boot_id	run_mode	profile	phase	round	events	successful_events	setup_count	close_count	mmap_count	munmap_count	nop_count	validation_failures	cleanup_failures	sq_dropped	cq_overflow	outstanding	timed_ns	ns_per_event	cpu	semantic_pass	sq_entries	cq_entries	features	single_mmap	ring_bytes	sqes_bytes	user_ring_addr_ok	user_sqes_addr_ok	trace_enabled	input_sha256	target_sha256
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	9	512	512	512	512	1024	1024	512	0	0	0	0	0	4548695	8884.169922	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	10	512	512	512	512	1024	1024	512	0	0	0	0	0	4485860	8761.445312	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	11	512	512	512	512	1024	1024	512	0	0	0	0	0	4567490	8920.878906	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	12	512	512	512	512	1024	1024	512	0	0	0	0	0	4567590	8921.074219	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	13	512	512	512	512	1024	1024	512	0	0	0	0	0	4626030	9035.214844	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	child	1	6.13.0-rc4-iommsq-bad-8078486e1d53-xxxxxxxxxxxx+	7c97969d-f9e6-493c-bfcb-8bfbaf8fda87	point	l0_standard_lifecycle	measured	14	512	512	512	512	1024	1024	512	0	0	0	0	0	4434951	8662.013672	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	0	512	512	512	512	1024	1024	512	0	0	0	0	0	4462555	8715.927734	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	1	512	512	512	512	1024	1024	512	0	0	0	0	0	4377466	8549.738281	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	2	512	512	512	512	1024	1024	512	0	0	0	0	0	4396139	8586.208984	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	3	512	512	512	512	1024	1024	512	0	0	0	0	0	4337989	8472.634766	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
