experiment	point	scenario	round	replicates	registration_ns	removal_ns	fill_ns	interval_ns	first_fill_ns_per_install	semantic_pass
original-v3	p12-a	4096/64	0	32	1969.687500	NA	8383.000000	10368.468750	NA	1
original-v3	p12-a	4096/64	1	32	2133.625000	NA	8130.093750	10279.843750	NA	1
original-v3	p12-a	4096/64	2	32	2143.593750	NA	8088.281250	10247.593750	NA	1
original-v3	p12-a	4096/64	3	32	2178.312500	NA	8061.187500	10256.187500	NA	1
original-v3	p12-a	4096/64	4	32	2157.875000	NA	8099.843750	10274.031250	NA	1
original-v3	p12-a	4096/64	5	32	2287.343750	NA	8111.375000	10414.968750	NA	1
original-v3	p12-a	4096/64	6	32	2128.156250	NA	8147.656250	10292.031250	NA	1
original-v3	p12-a	4096/64	7	32	1790.625000	NA	8162.843750	9973.125000	NA	1
original-v3	p12-a	4096/64	8	32	2054.125000	NA	8217.843750	10288.468750	NA	1
original-v3	p12-a	4096/64	9	32	2079.375000	NA	8084.812500	10180.562500	NA	1
original-v3	p12-a	4096/64	10	32	2015.218750	NA	8207.062500	10238.437500	NA	1
original-v3	p12-a	4096/64	11	32	1632.093750	NA	17882.375000	19530.343750	NA	1
original-v3	p12-a	4096/64	12	32	1945.593750	NA	8184.937500	10146.687500	NA	1
original-v3	p12-a	4096/64	13	32	2008.187500	NA	8130.500000	10154.906250	NA	1
original-v3	p12-a	4096/64	14	32	2177.406250	NA	8135.468750	10328.937500	NA	1
original-v3	p12-a	128/128	0	32	377.562500	NA	16075.812500	16469.531250	NA	1
original-v3	p12-a	128/128	1	32	386.968750	NA	15938.218750	16342.906250	NA	1
original-v3	p12-a	128/128	2	32	352.187500	NA	15773.093750	16140.750000	NA	1
original-v3	p12-a	128/128	3	32	347.281250	NA	15711.750000	16074.250000	NA	1
original-v3	p12-a	128/128	4	32	350.437500	NA	19436.093750	19802.187500	NA	1
original-v3	p12-a	128/128	5	32	357.375000	NA	16214.968750	16588.343750	NA	1
original-v3	p12-a	128/128	6	32	352.687500	NA	15632.812500	16000.968750	NA	1
original-v3	p12-a	128/128	7	32	365.687500	NA	15877.812500	16258.968750	NA	1
original-v3	p12-a	128/128	8	32	344.500000	NA	15769.781250	16129.781250	NA	1
original-v3	p12-a	128/128	9	32	442.031250	NA	16252.187500	16709.781250	NA	1
original-v3	p12-a	128/128	10	32	422.812500	NA	16183.343750	16622.062500	NA	1
original-v3	p12-a	128/128	11	32	433.781250	NA	16485.281250	16934.812500	NA	1
original-v3	p12-a	128/128	12	32	421.781250	NA	15821.343750	16258.843750	NA	1
original-v3	p12-a	128/128	13	32	552.656250	NA	15612.187500	16180.562500	NA	1
original-v3	p12-a	128/128	14	32	450.531250	NA	15588.187500	16054.625000	NA	1
original-v3	p123-a	original-F0-4096	0	1	NA	NA	441084	441084	107.686523	1
original-v3	p123-a	original-F0-4096	1	1	NA	NA	440062	440062	107.437012	1
original-v3	p123-a	original-F0-4096	2	1	NA	NA	439396	439396	107.274414	1
original-v3	p123-a	original-F0-4096	3	1	NA	NA	438254	438254	106.995605	1
original-v3	p123-a	original-F0-4096	4	1	NA	NA	439723	439723	107.354248	1
original-v3	p123-a	original-F0-4096	5	1	NA	NA	439519	439519	107.304443	1
original-v3	p123-a	original-F0-4096	6	1	NA	NA	458956	458956	112.049805	1
original-v3	p123-a	original-F0-4096	7	1	NA	NA	438938	438938	107.162598	1
original-v3	p123-a	original-F0-4096	8	1	NA	NA	438086	438086	106.954590	1
original-v3	p123-a	original-F0-4096	9	1	NA	NA	440733	440733	107.600830	1
original-v3	p123-a	original-F0-4096	10	1	NA	NA	452799	452799	110.546631	1
original-v3	p123-a	original-F0-4096	11	1	NA	NA	438328	438328	107.013672	1
original-v3	p123-a	original-F0-4096	12	1	NA	NA	439112	439112	107.205078	1
original-v3	p123-a	original-F0-4096	13	1	NA	NA	439578	439578	107.318848	1
original-v3	p123-a	original-F0-4096	14	1	NA	NA	450132	450132	109.895508	1
original-v3	p123-a	4096/4096	0	32	61757.500000	NA	432693.250000	494469.625000	NA	1
original-v3	p123-a	4096/4096	1	32	55376.375000	NA	433065.843750	488458.937500	NA	1
original-v3	p123-a	4096/4096	2	32	50891.687500	NA	432355.125000	483266.156250	NA	1
original-v3	p123-a	4096/4096	3	32	51741.843750	NA	432183.343750	483942.250000	NA	1
original-v3	p123-a	4096/4096	4	32	49404.562500	NA	433799.812500	483220.437500	NA	1
original-v3	p123-a	4096/4096	5	32	49566.062500	NA	432248.062500	481829.937500	NA	1
original-v3	p123-a	4096/4096	6	32	53170.093750	NA	432315.250000	485502.000000	NA	1
original-v3	p123-a	4096/4096	7	32	50716.000000	NA	433765.218750	484497.500000	NA	1
original-v3	p123-a	4096/4096	8	32	51407.125000	NA	433820.156250	485243.031250	NA	1
original-v3	p123-a	4096/4096	9	32	48915.781250	NA	432853.750000	481787.562500	NA	1
original-v3	p123-a	4096/4096	10	32	56159.562500	NA	432156.468750	488331.562500	NA	1
original-v3	p123-a	4096/4096	11	32	50963.875000	NA	432744.062500	483723.750000	NA	1
original-v3	p123-a	4096/4096	12	32	53317.125000	NA	432452.781250	485786.312500	NA	1
original-v3	p123-a	4096/4096	13	32	50432.187500	NA	433317.750000	483765.875000	NA	1
original-v3	p123-a	4096/4096	14	32	48247.187500	NA	433767.906250	482036.281250	NA	1
original-v3	p123-a	4096/64	0	32	60384.250000	NA	7392.312500	67793.968750	NA	1
original-v3	p123-a	4096/64	1	32	59119.062500	NA	7318.937500	66457.250000	NA	1
original-v3	p123-a	4096/64	2	32	60243.656250	NA	7452.781250	67714.281250	NA	1
original-v3	p123-a	4096/64	3	32	65484.812500	NA	7343.656250	72847.406250	NA	1
original-v3	p123-a	4096/64	4	32	68744.593750	NA	7360.843750	76125.625000	NA	1
original-v3	p123-a	4096/64	5	32	64076.718750	NA	7453.781250	71548.562500	NA	1
original-v3	p123-a	4096/64	6	32	68497.625000	NA	7351.500000	75869.750000	NA	1
original-v3	p123-a	4096/64	7	32	67054.375000	NA	11786.093750	78856.468750	NA	1
original-v3	p123-a	4096/64	8	32	55255.906250	NA	7333.875000	62607.031250	NA	1
original-v3	p123-a	4096/64	9	32	65497.375000	NA	7264.625000	72778.593750	NA	1
original-v3	p123-a	4096/64	10	32	64442.875000	NA	7471.187500	71933.468750	NA	1
original-v3	p123-a	4096/64	11	32	56935.531250	NA	7194.906250	64148.812500	NA	1
original-v3	p123-a	4096/64	12	32	82898.281250	NA	7406.968750	90321.437500	NA	1
original-v3	p123-a	4096/64	13	32	65706.562500	NA	7397.875000	73120.750000	NA	1
original-v3	p123-a	4096/64	14	32	57252.250000	NA	7253.187500	64522.906250	NA	1
original-v3	p123-a	128/128	0	32	2500.062500	NA	13985.062500	16501.031250	NA	1
original-v3	p123-a	128/128	1	32	2733.906250	NA	14064.218750	16814.625000	NA	1
original-v3	p123-a	128/128	2	32	2367.125000	NA	13874.875000	16257.625000	NA	1
original-v3	p123-a	128/128	3	32	2709.656250	NA	14113.562500	16839.531250	NA	1
original-v3	p123-a	128/128	4	32	2324.000000	NA	13853.281250	16192.687500	NA	1
original-v3	p123-a	128/128	5	32	2428.281250	NA	13880.406250	16324.781250	NA	1
original-v3	p123-a	128/128	6	32	2335.718750	NA	13932.125000	16283.500000	NA	1
original-v3	p123-a	128/128	7	32	2356.687500	NA	13969.593750	16341.750000	NA	1
original-v3	p123-a	128/128	8	32	2221.875000	NA	13854.906250	16093.062500	NA	1
original-v3	p123-a	128/128	9	32	2447.312500	NA	13891.875000	16355.593750	NA	1
original-v3	p123-a	128/128	10	32	2378.968750	NA	13883.531250	16280.000000	NA	1
original-v3	p123-a	128/128	11	32	2186.250000	NA	13990.968750	16192.968750	NA	1
original-v3	p123-a	128/128	12	32	2203.250000	NA	13823.875000	16042.718750	NA	1
original-v3	p123-a	128/128	13	32	2183.062500	NA	13990.750000	16189.250000	NA	1
original-v3	p123-a	128/128	14	32	2494.593750	NA	15139.375000	17649.437500	NA	1
original-v3	p123-b	original-F0-4096	0	1	NA	NA	440799	440799	107.616943	1
original-v3	p123-b	original-F0-4096	1	1	NA	NA	440863	440863	107.632568	1
original-v3	p123-b	original-F0-4096	2	1	NA	NA	437697	437697	106.859619	1
original-v3	p123-b	original-F0-4096	3	1	NA	NA	439310	439310	107.253418	1
original-v3	p123-b	original-F0-4096	4	1	NA	NA	454353	454353	110.926025	1
original-v3	p123-b	original-F0-4096	5	1	NA	NA	439604	439604	107.325195	1
original-v3	p123-b	original-F0-4096	6	1	NA	NA	438330	438330	107.014160	1
original-v3	p123-b	original-F0-4096	7	1	NA	NA	439138	439138	107.211426	1
original-v3	p123-b	original-F0-4096	8	1	NA	NA	438932	438932	107.161133	1
original-v3	p123-b	original-F0-4096	9	1	NA	NA	438771	438771	107.121826	1
original-v3	p123-b	original-F0-4096	10	1	NA	NA	438264	438264	106.998047	1
original-v3	p123-b	original-F0-4096	11	1	NA	NA	438837	438837	107.137939	1
original-v3	p123-b	original-F0-4096	12	1	NA	NA	440908	440908	107.643555	1
original-v3	p123-b	original-F0-4096	13	1	NA	NA	440697	440697	107.592041	1
original-v3	p123-b	original-F0-4096	14	1	NA	NA	436797	436797	106.639893	1
original-v3	p123-b	4096/4096	0	32	56467.843750	NA	434272.500000	490757.000000	NA	1
original-v3	p123-b	4096/4096	1	32	53384.250000	NA	434820.750000	488220.843750	NA	1
original-v3	p123-b	4096/4096	2	32	50156.093750	NA	435698.843750	485871.156250	NA	1
original-v3	p123-b	4096/4096	3	32	51859.687500	NA	435459.531250	487335.812500	NA	1
original-v3	p123-b	4096/4096	4	32	48245.062500	NA	435321.875000	483582.781250	NA	1
original-v3	p123-b	4096/4096	5	32	48502.343750	NA	435683.843750	484248.062500	NA	1
original-v3	p123-b	4096/4096	6	32	48201.156250	NA	435541.125000	483758.375000	NA	1
original-v3	p123-b	4096/4096	7	32	46913.812500	NA	435434.718750	482364.781250	NA	1
original-v3	p123-b	4096/4096	8	32	49211.531250	NA	435868.406250	485096.156250	NA	1
original-v3	p123-b	4096/4096	9	32	49710.281250	NA	435846.593750	485573.000000	NA	1
original-v3	p123-b	4096/4096	10	32	49476.562500	NA	435991.250000	485483.687500	NA	1
original-v3	p123-b	4096/4096	11	32	47741.750000	NA	436716.718750	484473.781250	NA	1
original-v3	p123-b	4096/4096	12	32	48272.968750	NA	436309.281250	484598.875000	NA	1
original-v3	p123-b	4096/4096	13	32	48968.875000	NA	435677.531250	484662.343750	NA	1
original-v3	p123-b	4096/4096	14	32	48090.656250	NA	435919.343750	484026.187500	NA	1
original-v3	p123-b	4096/64	0	32	58146.906250	NA	7402.093750	65566.593750	NA	1
original-v3	p123-b	4096/64	1	32	57881.906250	NA	7309.312500	65209.968750	NA	1
original-v3	p123-b	4096/64	2	32	56883.968750	NA	7235.156250	64136.687500	NA	1
original-v3	p123-b	4096/64	3	32	57055.687500	NA	7241.031250	64313.093750	NA	1
original-v3	p123-b	4096/64	4	32	63789.343750	NA	7482.625000	71290.906250	NA	1
original-v3	p123-b	4096/64	5	32	77509.812500	NA	7583.218750	85110.562500	NA	1
original-v3	p123-b	4096/64	6	32	67253.250000	NA	7467.562500	74738.031250	NA	1
original-v3	p123-b	4096/64	7	32	67510.406250	NA	7616.250000	75144.468750	NA	1
original-v3	p123-b	4096/64	8	32	65072.812500	NA	7590.187500	72679.562500	NA	1
original-v3	p123-b	4096/64	9	32	57146.468750	NA	7203.375000	64366.656250	NA	1
original-v3	p123-b	4096/64	10	32	57312.218750	NA	7215.812500	64545.718750	NA	1
original-v3	p123-b	4096/64	11	32	69583.187500	NA	7479.000000	77078.718750	NA	1
original-v3	p123-b	4096/64	12	32	62563.906250	NA	7229.625000	69811.562500	NA	1
original-v3	p123-b	4096/64	13	32	57569.093750	NA	7198.156250	64783.125000	NA	1
original-v3	p123-b	4096/64	14	32	58811.625000	NA	7229.656250	66057.375000	NA	1
original-v3	p123-b	128/128	0	32	2369.156250	NA	13828.843750	16214.375000	NA	1
original-v3	p123-b	128/128	1	32	2431.718750	NA	13884.781250	16332.062500	NA	1
original-v3	p123-b	128/128	2	32	2395.562500	NA	15001.125000	17412.406250	NA	1
original-v3	p123-b	128/128	3	32	2374.718750	NA	13995.593750	16385.625000	NA	1
original-v3	p123-b	128/128	4	32	2377.062500	NA	13861.156250	16253.937500	NA	1
original-v3	p123-b	128/128	5	32	2368.468750	NA	13874.687500	16258.468750	NA	1
original-v3	p123-b	128/128	6	32	2674.187500	NA	14001.656250	16691.281250	NA	1
original-v3	p123-b	128/128	7	32	2441.187500	NA	13782.375000	16239.093750	NA	1
original-v3	p123-b	128/128	8	32	2594.968750	NA	13794.062500	16404.437500	NA	1
original-v3	p123-b	128/128	9	32	2487.093750	NA	13812.093750	16314.812500	NA	1
original-v3	p123-b	128/128	10	32	2662.593750	NA	13805.812500	16487.312500	NA	1
original-v3	p123-b	128/128	11	32	2476.125000	NA	13861.750000	16353.687500	NA	1
original-v3	p123-b	128/128	12	32	2433.781250	NA	13816.093750	16265.843750	NA	1
original-v3	p123-b	128/128	13	32	2360.750000	NA	13789.781250	16166.000000	NA	1
original-v3	p123-b	128/128	14	32	2772.312500	NA	13822.343750	16609.968750	NA	1
original-v3	p12-b	original-F0-4096	0	1	NA	NA	484174	484174	118.206543	1
original-v3	p12-b	original-F0-4096	1	1	NA	NA	481567	481567	117.570068	1
original-v3	p12-b	original-F0-4096	2	1	NA	NA	483436	483436	118.026367	1
original-v3	p12-b	original-F0-4096	3	1	NA	NA	480930	480930	117.414551	1
original-v3	p12-b	original-F0-4096	4	1	NA	NA	481682	481682	117.598145	1
original-v3	p12-b	original-F0-4096	5	1	NA	NA	481983	481983	117.671631	1
original-v3	p12-b	original-F0-4096	6	1	NA	NA	481166	481166	117.472168	1
original-v3	p12-b	original-F0-4096	7	1	NA	NA	484885	484885	118.380127	1
original-v3	p12-b	original-F0-4096	8	1	NA	NA	480235	480235	117.244873	1
original-v3	p12-b	original-F0-4096	9	1	NA	NA	482209	482209	117.726807	1
original-v3	p12-b	original-F0-4096	10	1	NA	NA	480574	480574	117.327637	1
original-v3	p12-b	original-F0-4096	11	1	NA	NA	517607	517607	126.368896	1
original-v3	p12-b	original-F0-4096	12	1	NA	NA	481429	481429	117.536377	1
original-v3	p12-b	original-F0-4096	13	1	NA	NA	480825	480825	117.388916	1
original-v3	p12-b	original-F0-4096	14	1	NA	NA	482221	482221	117.729736	1
original-v3	p12-b	4096/4096	0	32	1706.312500	NA	476265.437500	477987.437500	NA	1
original-v3	p12-b	4096/4096	1	32	1506.250000	NA	477446.031250	478967.781250	NA	1
original-v3	p12-b	4096/4096	2	32	1484.218750	NA	476923.187500	478423.000000	NA	1
original-v3	p12-b	4096/4096	3	32	1470.906250	NA	476985.625000	478472.031250	NA	1
original-v3	p12-b	4096/4096	4	32	1535.156250	NA	476506.031250	478058.000000	NA	1
original-v3	p12-b	4096/4096	5	32	1456.937500	NA	477854.093750	479326.406250	NA	1
original-v3	p12-b	4096/4096	6	32	1458.093750	NA	476878.812500	478352.437500	NA	1
original-v3	p12-b	4096/4096	7	32	1447.031250	NA	477192.281250	478654.937500	NA	1
original-v3	p12-b	4096/4096	8	32	1449.406250	NA	477874.156250	479338.937500	NA	1
original-v3	p12-b	4096/4096	9	32	1459.437500	NA	477777.156250	479251.937500	NA	1
original-v3	p12-b	4096/4096	10	32	1445.906250	NA	477951.437500	479412.968750	NA	1
original-v3	p12-b	4096/4096	11	32	1451.500000	NA	477285.437500	478752.437500	NA	1
original-v3	p12-b	4096/4096	12	32	1453.218750	NA	478491.312500	479960.031250	NA	1
original-v3	p12-b	4096/4096	13	32	1460.750000	NA	477111.562500	478587.718750	NA	1
original-v3	p12-b	4096/4096	14	32	1460.781250	NA	477475.625000	478952.031250	NA	1
original-v3	p12-b	4096/64	0	32	1849.031250	NA	8182.062500	10048.531250	NA	1
original-v3	p12-b	4096/64	1	32	1940.968750	NA	8143.281250	10100.062500	NA	1
original-v3	p12-b	4096/64	2	32	1989.812500	NA	8106.437500	10112.031250	NA	1
original-v3	p12-b	4096/64	3	32	1961.687500	NA	8167.718750	10145.062500	NA	1
original-v3	p12-b	4096/64	4	32	1980.875000	NA	8260.000000	10256.875000	NA	1
original-v3	p12-b	4096/64	5	32	1970.843750	NA	8128.281250	10114.562500	NA	1
original-v3	p12-b	4096/64	6	32	2003.562500	NA	8224.437500	10243.562500	NA	1
original-v3	p12-b	4096/64	7	32	1939.093750	NA	8142.406250	10097.093750	NA	1
original-v3	p12-b	4096/64	8	32	1936.343750	NA	8187.906250	10139.687500	NA	1
original-v3	p12-b	4096/64	9	32	1962.781250	NA	8079.218750	10057.781250	NA	1
original-v3	p12-b	4096/64	10	32	1640.781250	NA	8277.281250	9933.937500	NA	1
original-v3	p12-b	4096/64	11	32	1698.843750	NA	8134.062500	9848.781250	NA	1
original-v3	p12-b	4096/64	12	32	1914.843750	NA	8123.468750	10054.406250	NA	1
original-v3	p12-b	4096/64	13	32	1617.218750	NA	8279.093750	9911.968750	NA	1
original-v3	p12-b	4096/64	14	32	1736.718750	NA	8169.812500	9922.843750	NA	1
original-v3	p12-b	128/128	0	32	389.281250	NA	16010.125000	16416.625000	NA	1
original-v3	p12-b	128/128	1	32	378.156250	NA	15870.968750	16267.156250	NA	1
original-v3	p12-b	128/128	2	32	361.312500	NA	15775.625000	16154.250000	NA	1
original-v3	p12-b	128/128	3	32	343.750000	NA	15783.031250	16142.812500	NA	1
original-v3	p12-b	128/128	4	32	353.312500	NA	15752.343750	16121.937500	NA	1
original-v3	p12-b	128/128	5	32	358.312500	NA	15765.500000	16140.875000	NA	1
original-v3	p12-b	128/128	6	32	339.625000	NA	15680.281250	16036.437500	NA	1
original-v3	p12-b	128/128	7	32	354.968750	NA	15853.343750	16224.218750	NA	1
original-v3	p12-b	128/128	8	32	346.156250	NA	16028.187500	16389.875000	NA	1
original-v3	p12-b	128/128	9	32	357.437500	NA	16327.406250	16702.437500	NA	1
original-v3	p12-b	128/128	10	32	420.218750	NA	16032.468750	16470.531250	NA	1
original-v3	p12-b	128/128	11	32	443.812500	NA	16035.156250	16495.937500	NA	1
original-v3	p12-b	128/128	12	32	435.343750	NA	16364.312500	16817.093750	NA	1
original-v3	p12-b	128/128	13	32	411.875000	NA	15886.343750	16315.500000	NA	1
original-v3	p12-b	128/128	14	32	417.125000	NA	16345.906250	16778.906250	NA	1
original-v3	unpatched-b	original-F0-4096	0	1	NA	NA	493335	493335	120.443115	1
original-v3	unpatched-b	original-F0-4096	1	1	NA	NA	490690	490690	119.797363	1
original-v3	unpatched-b	original-F0-4096	2	1	NA	NA	490273	490273	119.695557	1
original-v3	unpatched-b	original-F0-4096	3	1	NA	NA	491106	491106	119.898926	1
original-v3	unpatched-b	original-F0-4096	4	1	NA	NA	488619	488619	119.291748	1
original-v3	unpatched-b	original-F0-4096	5	1	NA	NA	499411	499411	121.926514	1
original-v3	unpatched-b	original-F0-4096	6	1	NA	NA	487842	487842	119.102051	1
original-v3	unpatched-b	original-F0-4096	7	1	NA	NA	494973	494973	120.843018	1
original-v3	unpatched-b	original-F0-4096	8	1	NA	NA	495910	495910	121.071777	1
original-v3	unpatched-b	original-F0-4096	9	1	NA	NA	488788	488788	119.333008	1
