experiment	point	scenario	round	replicates	registration_ns	removal_ns	fill_ns	interval_ns	first_fill_ns_per_install	semantic_pass
lifecycle-followup	p123-a	paced-4096-4096	0	32	72051.000000	0.000000	455495.250000	527573.125000	NA	1
lifecycle-followup	p123-a	paced-4096-4096	1	32	70895.250000	0.000000	458848.781250	529769.250000	NA	1
lifecycle-followup	p123-a	paced-4096-4096	2	32	71566.187500	0.000000	460000.687500	531592.812500	NA	1
lifecycle-followup	p123-a	paced-4096-4096	3	32	70992.687500	0.000000	455545.437500	526564.187500	NA	1
lifecycle-followup	p123-a	paced-4096-4096	4	32	72265.437500	0.000000	452423.656250	524714.156250	NA	1
lifecycle-followup	p123-a	paced-4096-4096	5	32	72172.562500	0.000000	453552.062500	525750.031250	NA	1
lifecycle-followup	p123-a	paced-4096-4096	6	32	71725.718750	0.000000	457468.687500	529221.562500	NA	1
lifecycle-followup	p123-a	paced-4096-4096	7	32	71782.406250	0.000000	456124.843750	527932.937500	NA	1
lifecycle-followup	p123-a	paced-4096-4096	8	32	72086.218750	0.000000	455239.437500	527350.875000	NA	1
lifecycle-followup	p123-a	paced-4096-4096	9	32	72112.250000	0.000000	457364.937500	529503.750000	NA	1
lifecycle-followup	p123-a	paced-4096-4096	10	32	72039.656250	0.000000	455603.843750	527667.937500	NA	1
lifecycle-followup	p123-a	paced-4096-4096	11	32	71952.500000	0.000000	457042.343750	529020.437500	NA	1
lifecycle-followup	p123-a	paced-4096-4096	12	32	71890.687500	0.000000	456019.843750	527935.562500	NA	1
lifecycle-followup	p123-a	paced-4096-4096	13	32	71651.406250	0.000000	457234.375000	528910.750000	NA	1
lifecycle-followup	p123-a	paced-4096-4096	14	32	71911.718750	0.000000	454533.093750	526469.875000	NA	1
lifecycle-followup	p123-a	paced-128-128	0	32	4944.531250	0.000000	19991.593750	24961.937500	NA	1
lifecycle-followup	p123-a	paced-128-128	1	32	4929.250000	0.000000	20367.406250	25322.843750	NA	1
lifecycle-followup	p123-a	paced-128-128	2	32	4978.812500	0.000000	20304.937500	25309.968750	NA	1
lifecycle-followup	p123-a	paced-128-128	3	32	4857.093750	0.000000	20246.125000	25129.031250	NA	1
lifecycle-followup	p123-a	paced-128-128	4	32	5219.343750	0.000000	19955.343750	25200.625000	NA	1
lifecycle-followup	p123-a	paced-128-128	5	32	5285.875000	0.000000	19988.093750	25300.125000	NA	1
lifecycle-followup	p123-a	paced-128-128	6	32	4934.906250	0.000000	20101.843750	25062.875000	NA	1
lifecycle-followup	p123-a	paced-128-128	7	32	4885.718750	0.000000	20755.343750	25666.937500	NA	1
lifecycle-followup	p123-a	paced-128-128	8	32	4915.093750	0.000000	20394.656250	25335.468750	NA	1
lifecycle-followup	p123-a	paced-128-128	9	32	4873.093750	0.000000	20232.937500	25131.781250	NA	1
lifecycle-followup	p123-a	paced-128-128	10	32	4959.312500	0.000000	19966.406250	24951.250000	NA	1
lifecycle-followup	p123-a	paced-128-128	11	32	4877.500000	0.000000	20501.781250	25405.375000	NA	1
lifecycle-followup	p123-a	paced-128-128	12	32	4862.093750	0.000000	20507.312500	25395.812500	NA	1
lifecycle-followup	p123-a	paced-128-128	13	32	4876.406250	0.000000	20244.343750	25146.687500	NA	1
lifecycle-followup	p123-a	paced-128-128	14	32	4921.031250	0.000000	19900.781250	24848.031250	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	0	32	0.000000	145282.281250	434879.718750	580178.062500	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	1	32	0.000000	145112.343750	435107.656250	580235.656250	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	2	32	0.000000	145127.687500	434901.968750	580045.375000	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	3	32	0.000000	144925.593750	434979.218750	579922.000000	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	4	32	0.000000	144963.281250	434994.937500	579974.750000	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	5	32	0.000000	144846.562500	434966.062500	579830.781250	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	6	32	0.000000	145038.375000	434656.281250	579714.593750	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	7	32	0.000000	145051.125000	434670.312500	579738.687500	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	8	32	0.000000	145179.000000	434763.500000	579960.437500	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	9	32	0.000000	145101.593750	435229.875000	580348.500000	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	10	32	0.000000	145233.906250	435356.656250	580607.218750	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	11	32	0.000000	145286.125000	435227.218750	580530.812500	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	12	32	0.000000	145234.843750	435066.125000	580318.125000	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	13	32	0.000000	145114.812500	434802.562500	579933.531250	NA	1
lifecycle-followup	p123-a	reuse-4096-4096	14	32	0.000000	145080.531250	434967.125000	580065.312500	NA	1
lifecycle-followup	p123-a	reuse-4096-64	0	32	0.000000	2342.062500	6992.218750	9350.500000	NA	1
lifecycle-followup	p123-a	reuse-4096-64	1	32	0.000000	2358.937500	6932.031250	9309.937500	NA	1
lifecycle-followup	p123-a	reuse-4096-64	2	32	0.000000	2493.093750	6902.406250	9411.281250	NA	1
lifecycle-followup	p123-a	reuse-4096-64	3	32	0.000000	2492.218750	6912.500000	9420.718750	NA	1
lifecycle-followup	p123-a	reuse-4096-64	4	32	0.000000	2498.750000	6947.937500	9462.625000	NA	1
lifecycle-followup	p123-a	reuse-4096-64	5	32	0.000000	2485.750000	6985.906250	9487.406250	NA	1
lifecycle-followup	p123-a	reuse-4096-64	6	32	0.000000	2485.937500	6943.718750	9446.031250	NA	1
lifecycle-followup	p123-a	reuse-4096-64	7	32	0.000000	2485.968750	6921.531250	9423.562500	NA	1
lifecycle-followup	p123-a	reuse-4096-64	8	32	0.000000	2485.687500	6914.531250	9416.312500	NA	1
lifecycle-followup	p123-a	reuse-4096-64	9	32	0.000000	2486.812500	6950.656250	9453.468750	NA	1
lifecycle-followup	p123-a	reuse-4096-64	10	32	0.000000	2482.406250	6912.437500	9413.812500	NA	1
lifecycle-followup	p123-a	reuse-4096-64	11	32	0.000000	2489.156250	6919.187500	9424.218750	NA	1
lifecycle-followup	p123-a	reuse-4096-64	12	32	0.000000	2490.875000	6936.937500	9443.750000	NA	1
lifecycle-followup	p123-a	reuse-4096-64	13	32	0.000000	2492.156250	6907.656250	9415.843750	NA	1
lifecycle-followup	p123-a	reuse-4096-64	14	32	0.000000	2492.250000	6945.125000	9453.250000	NA	1
lifecycle-followup	p123-b	serial-4096-64	0	32	57896.187500	0.000000	7435.031250	65348.750000	NA	1
lifecycle-followup	p123-b	serial-4096-64	1	32	60942.406250	0.000000	7290.968750	68250.250000	NA	1
lifecycle-followup	p123-b	serial-4096-64	2	32	60030.031250	0.000000	7194.593750	67242.468750	NA	1
lifecycle-followup	p123-b	serial-4096-64	3	32	64331.406250	0.000000	7409.281250	71760.031250	NA	1
lifecycle-followup	p123-b	serial-4096-64	4	32	60831.500000	0.000000	7372.906250	68225.187500	NA	1
lifecycle-followup	p123-b	serial-4096-64	5	32	57016.156250	0.000000	7222.750000	64256.562500	NA	1
lifecycle-followup	p123-b	serial-4096-64	6	32	64583.281250	0.000000	7403.906250	72007.875000	NA	1
lifecycle-followup	p123-b	serial-4096-64	7	32	59874.093750	0.000000	8036.343750	67926.750000	NA	1
lifecycle-followup	p123-b	serial-4096-64	8	32	61882.281250	0.000000	7402.281250	69304.000000	NA	1
lifecycle-followup	p123-b	serial-4096-64	9	32	65531.312500	0.000000	7547.406250	73096.375000	NA	1
lifecycle-followup	p123-b	serial-4096-64	10	32	60626.093750	0.000000	7322.843750	67965.000000	NA	1
lifecycle-followup	p123-b	serial-4096-64	11	32	57902.593750	0.000000	7219.187500	65137.750000	NA	1
lifecycle-followup	p123-b	serial-4096-64	12	32	70046.875000	0.000000	7237.875000	77301.718750	NA	1
lifecycle-followup	p123-b	serial-4096-64	13	32	67754.718750	0.000000	7696.656250	75468.093750	NA	1
lifecycle-followup	p123-b	serial-4096-64	14	32	67668.093750	0.000000	7467.593750	75153.812500	NA	1
lifecycle-followup	p123-b	paced-4096-64	0	32	71877.625000	0.000000	13181.937500	85084.718750	NA	1
lifecycle-followup	p123-b	paced-4096-64	1	32	73007.781250	0.000000	13110.468750	86142.437500	NA	1
lifecycle-followup	p123-b	paced-4096-64	2	32	71497.062500	0.000000	13486.281250	85009.031250	NA	1
lifecycle-followup	p123-b	paced-4096-64	3	32	71231.843750	0.000000	13108.062500	84365.187500	NA	1
lifecycle-followup	p123-b	paced-4096-64	4	32	72553.406250	0.000000	13133.562500	85710.656250	NA	1
lifecycle-followup	p123-b	paced-4096-64	5	32	73091.093750	0.000000	13207.593750	86322.812500	NA	1
lifecycle-followup	p123-b	paced-4096-64	6	32	74115.718750	0.000000	13035.656250	87179.281250	NA	1
lifecycle-followup	p123-b	paced-4096-64	7	32	72357.593750	0.000000	13061.468750	85444.593750	NA	1
lifecycle-followup	p123-b	paced-4096-64	8	32	71789.437500	0.000000	13105.125000	84919.968750	NA	1
lifecycle-followup	p123-b	paced-4096-64	9	32	72398.875000	0.000000	13171.687500	85595.062500	NA	1
lifecycle-followup	p123-b	paced-4096-64	10	32	73289.843750	0.000000	13623.812500	86938.000000	NA	1
lifecycle-followup	p123-b	paced-4096-64	11	32	71112.593750	0.000000	13076.781250	84215.718750	NA	1
lifecycle-followup	p123-b	paced-4096-64	12	32	71475.625000	0.000000	13035.000000	84536.031250	NA	1
lifecycle-followup	p123-b	paced-4096-64	13	32	72094.593750	0.000000	13557.906250	85680.375000	NA	1
lifecycle-followup	p123-b	paced-4096-64	14	32	71366.875000	0.000000	13434.687500	84826.937500	NA	1
lifecycle-followup	p123-b	paced-4096-4096	0	32	71843.093750	0.000000	456081.781250	527950.875000	NA	1
lifecycle-followup	p123-b	paced-4096-4096	1	32	71446.343750	0.000000	454175.312500	525646.062500	NA	1
lifecycle-followup	p123-b	paced-4096-4096	2	32	72385.531250	0.000000	453527.687500	525939.375000	NA	1
lifecycle-followup	p123-b	paced-4096-4096	3	32	71348.031250	0.000000	454083.781250	525459.281250	NA	1
lifecycle-followup	p123-b	paced-4096-4096	4	32	72005.875000	0.000000	452666.843750	524698.187500	NA	1
lifecycle-followup	p123-b	paced-4096-4096	5	32	72172.093750	0.000000	453339.125000	525537.750000	NA	1
lifecycle-followup	p123-b	paced-4096-4096	6	32	72647.468750	0.000000	454252.062500	526924.843750	NA	1
lifecycle-followup	p123-b	paced-4096-4096	7	32	71656.312500	0.000000	453578.812500	525260.593750	NA	1
lifecycle-followup	p123-b	paced-4096-4096	8	32	71875.187500	0.000000	452229.625000	524129.531250	NA	1
lifecycle-followup	p123-b	paced-4096-4096	9	32	72330.937500	0.000000	455201.156250	527556.812500	NA	1
lifecycle-followup	p123-b	paced-4096-4096	10	32	71786.906250	0.000000	454384.375000	526197.062500	NA	1
lifecycle-followup	p123-b	paced-4096-4096	11	32	71883.062500	0.000000	452837.687500	524744.750000	NA	1
lifecycle-followup	p123-b	paced-4096-4096	12	32	71720.625000	0.000000	453686.906250	525433.531250	NA	1
lifecycle-followup	p123-b	paced-4096-4096	13	32	72347.531250	0.000000	453037.718750	525411.000000	NA	1
lifecycle-followup	p123-b	paced-4096-4096	14	32	71874.625000	0.000000	453433.406250	525332.343750	NA	1
lifecycle-followup	p123-b	paced-128-128	0	32	4947.625000	0.000000	19952.312500	24929.593750	NA	1
lifecycle-followup	p123-b	paced-128-128	1	32	5021.156250	0.000000	20614.187500	25666.343750	NA	1
lifecycle-followup	p123-b	paced-128-128	2	32	5406.500000	0.000000	20184.687500	25619.593750	NA	1
lifecycle-followup	p123-b	paced-128-128	3	32	5060.625000	0.000000	19964.812500	25054.593750	NA	1
lifecycle-followup	p123-b	paced-128-128	4	32	5085.093750	0.000000	20324.125000	25439.937500	NA	1
lifecycle-followup	p123-b	paced-128-128	5	32	5403.531250	0.000000	20069.687500	25502.625000	NA	1
lifecycle-followup	p123-b	paced-128-128	6	32	5051.937500	0.000000	20294.187500	25375.718750	NA	1
lifecycle-followup	p123-b	paced-128-128	7	32	5103.406250	0.000000	19876.968750	25007.906250	NA	1
lifecycle-followup	p123-b	paced-128-128	8	32	5028.500000	0.000000	19841.843750	24899.375000	NA	1
lifecycle-followup	p123-b	paced-128-128	9	32	5484.468750	0.000000	20517.375000	26030.312500	NA	1
lifecycle-followup	p123-b	paced-128-128	10	32	5482.812500	0.000000	20034.781250	25553.062500	NA	1
lifecycle-followup	p123-b	paced-128-128	11	32	5377.843750	0.000000	20320.718750	25727.562500	NA	1
lifecycle-followup	p123-b	paced-128-128	12	32	5049.062500	0.000000	19765.656250	24844.406250	NA	1
lifecycle-followup	p123-b	paced-128-128	13	32	5049.468750	0.000000	19811.687500	24890.468750	NA	1
lifecycle-followup	p123-b	paced-128-128	14	32	5103.968750	0.000000	20192.750000	25325.562500	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	0	32	0.000000	145037.625000	431763.062500	576816.468750	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	1	32	0.000000	144957.875000	431509.250000	576482.968750	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	2	32	0.000000	145045.093750	431793.250000	576853.906250	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	3	32	0.000000	145027.343750	431655.125000	576698.000000	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	4	32	0.000000	144944.625000	431423.687500	576384.406250	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	5	32	0.000000	144903.093750	431438.437500	576361.937500	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	6	32	0.000000	145070.187500	431565.437500	576657.906250	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	7	32	0.000000	144925.750000	431640.062500	576587.875000	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	8	32	0.000000	145032.656250	431681.125000	576735.843750	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	9	32	0.000000	145003.125000	431289.937500	576315.281250	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	10	32	0.000000	144942.093750	431667.718750	576638.937500	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	11	32	0.000000	144994.406250	431614.906250	576638.437500	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	12	32	0.000000	145070.781250	431768.437500	576867.937500	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	13	32	0.000000	144884.875000	431841.218750	576754.625000	NA	1
lifecycle-followup	p123-b	reuse-4096-4096	14	32	0.000000	144803.562500	431929.937500	576762.718750	NA	1
lifecycle-followup	p123-b	reuse-4096-64	0	32	0.000000	2354.937500	6983.718750	9354.875000	NA	1
lifecycle-followup	p123-b	reuse-4096-64	1	32	0.000000	2359.906250	7107.187500	9483.062500	NA	1
lifecycle-followup	p123-b	reuse-4096-64	2	32	0.000000	2518.812500	6972.937500	9511.093750	NA	1
lifecycle-followup	p123-b	reuse-4096-64	3	32	0.000000	2517.968750	6977.750000	9511.656250	NA	1
lifecycle-followup	p123-b	reuse-4096-64	4	32	0.000000	2503.625000	7023.468750	9543.125000	NA	1
lifecycle-followup	p123-b	reuse-4096-64	5	32	0.000000	2506.125000	6963.687500	9485.750000	NA	1
lifecycle-followup	p123-b	reuse-4096-64	6	32	0.000000	2504.156250	6983.343750	9503.593750	NA	1
lifecycle-followup	p123-b	reuse-4096-64	7	32	0.000000	2515.500000	6978.031250	9509.562500	NA	1
lifecycle-followup	p123-b	reuse-4096-64	8	32	0.000000	2516.437500	6988.656250	9521.125000	NA	1
lifecycle-followup	p123-b	reuse-4096-64	9	32	0.000000	2524.781250	6970.750000	9511.468750	NA	1
lifecycle-followup	p123-b	reuse-4096-64	10	32	0.000000	2569.437500	6979.906250	9565.343750	NA	1
lifecycle-followup	p123-b	reuse-4096-64	11	32	0.000000	2566.406250	6949.093750	9531.718750	NA	1
lifecycle-followup	p123-b	reuse-4096-64	12	32	0.000000	2509.593750	6994.750000	9520.312500	NA	1
lifecycle-followup	p123-b	reuse-4096-64	13	32	0.000000	2513.468750	6959.687500	9489.125000	NA	1
lifecycle-followup	p123-b	reuse-4096-64	14	32	0.000000	2510.937500	6984.156250	9510.875000	NA	1
lifecycle-followup	p12-b	serial-4096-64	0	32	2122.250000	0.000000	8323.531250	10463.593750	NA	1
lifecycle-followup	p12-b	serial-4096-64	1	32	2199.156250	0.000000	8227.406250	10443.343750	NA	1
lifecycle-followup	p12-b	serial-4096-64	2	32	2115.437500	0.000000	8214.343750	10345.437500	NA	1
lifecycle-followup	p12-b	serial-4096-64	3	32	2162.750000	0.000000	8152.218750	10330.843750	NA	1
lifecycle-followup	p12-b	serial-4096-64	4	32	2170.781250	0.000000	8238.718750	10425.343750	NA	1
lifecycle-followup	p12-b	serial-4096-64	5	32	2285.281250	0.000000	8279.125000	10579.906250	NA	1
lifecycle-followup	p12-b	serial-4096-64	6	32	2215.937500	0.000000	8158.312500	10389.875000	NA	1
lifecycle-followup	p12-b	serial-4096-64	7	32	2030.031250	0.000000	8168.781250	10214.468750	NA	1
lifecycle-followup	p12-b	serial-4096-64	8	32	2118.781250	0.000000	8345.156250	10479.625000	NA	1
lifecycle-followup	p12-b	serial-4096-64	9	32	2174.656250	0.000000	8285.750000	10476.125000	NA	1
lifecycle-followup	p12-b	serial-4096-64	10	32	2200.406250	0.000000	8163.156250	10379.187500	NA	1
lifecycle-followup	p12-b	serial-4096-64	11	32	1650.218750	0.000000	8727.062500	10393.187500	NA	1
lifecycle-followup	p12-b	serial-4096-64	12	32	1950.250000	0.000000	8147.593750	10114.312500	NA	1
lifecycle-followup	p12-b	serial-4096-64	13	32	1615.656250	0.000000	8340.968750	9972.437500	NA	1
lifecycle-followup	p12-b	serial-4096-64	14	32	1805.468750	0.000000	8099.156250	9920.343750	NA	1
lifecycle-followup	p12-b	paced-4096-64	0	32	6289.250000	0.000000	15302.156250	21619.781250	NA	1
lifecycle-followup	p12-b	paced-4096-64	1	32	5874.437500	0.000000	15696.500000	21596.937500	NA	1
lifecycle-followup	p12-b	paced-4096-64	2	32	5889.562500	0.000000	15158.875000	21076.031250	NA	1
lifecycle-followup	p12-b	paced-4096-64	3	32	6200.656250	0.000000	15117.187500	21344.968750	NA	1
lifecycle-followup	p12-b	paced-4096-64	4	32	5878.156250	0.000000	15168.656250	21075.250000	NA	1
lifecycle-followup	p12-b	paced-4096-64	5	32	5860.593750	0.000000	16078.812500	21965.187500	NA	1
lifecycle-followup	p12-b	paced-4096-64	6	32	6191.000000	0.000000	15103.593750	21322.218750	NA	1
lifecycle-followup	p12-b	paced-4096-64	7	32	5894.250000	0.000000	15236.031250	21156.781250	NA	1
lifecycle-followup	p12-b	paced-4096-64	8	32	5820.406250	0.000000	15122.000000	20969.906250	NA	1
lifecycle-followup	p12-b	paced-4096-64	9	32	5874.625000	0.000000	15136.093750	21038.437500	NA	1
lifecycle-followup	p12-b	paced-4096-64	10	32	5966.187500	0.000000	15280.468750	21273.000000	NA	1
lifecycle-followup	p12-b	paced-4096-64	11	32	5923.281250	0.000000	15267.281250	21218.562500	NA	1
lifecycle-followup	p12-b	paced-4096-64	12	32	6287.468750	0.000000	15638.875000	21953.343750	NA	1
lifecycle-followup	p12-b	paced-4096-64	13	32	5934.968750	0.000000	15579.187500	21542.343750	NA	1
lifecycle-followup	p12-b	paced-4096-64	14	32	6232.312500	0.000000	15256.375000	21515.437500	NA	1
lifecycle-followup	p12-b	paced-4096-4096	0	32	5796.000000	0.000000	515146.625000	520968.812500	NA	1
lifecycle-followup	p12-b	paced-4096-4096	1	32	5807.156250	0.000000	514130.343750	519963.500000	NA	1
lifecycle-followup	p12-b	paced-4096-4096	2	32	5761.000000	0.000000	515190.437500	520977.718750	NA	1
lifecycle-followup	p12-b	paced-4096-4096	3	32	5830.062500	0.000000	514614.843750	520470.937500	NA	1
lifecycle-followup	p12-b	paced-4096-4096	4	32	5773.281250	0.000000	515105.437500	520904.875000	NA	1
lifecycle-followup	p12-b	paced-4096-4096	5	32	5813.531250	0.000000	514350.000000	520189.875000	NA	1
lifecycle-followup	p12-b	paced-4096-4096	6	32	6083.562500	0.000000	514813.062500	520922.500000	NA	1
lifecycle-followup	p12-b	paced-4096-4096	7	32	5767.093750	0.000000	513812.437500	519605.625000	NA	1
lifecycle-followup	p12-b	paced-4096-4096	8	32	5872.750000	0.000000	515474.437500	521373.843750	NA	1
lifecycle-followup	p12-b	paced-4096-4096	9	32	5887.812500	0.000000	515867.656250	521781.218750	NA	1
lifecycle-followup	p12-b	paced-4096-4096	10	32	6225.031250	0.000000	515105.875000	521356.843750	NA	1
lifecycle-followup	p12-b	paced-4096-4096	11	32	6173.062500	0.000000	512628.937500	518827.812500	NA	1
lifecycle-followup	p12-b	paced-4096-4096	12	32	5763.656250	0.000000	514593.281250	520383.343750	NA	1
lifecycle-followup	p12-b	paced-4096-4096	13	32	5827.718750	0.000000	514938.062500	520791.812500	NA	1
lifecycle-followup	p12-b	paced-4096-4096	14	32	5801.968750	0.000000	514649.500000	520477.687500	NA	1
lifecycle-followup	p12-b	paced-128-128	0	32	2029.593750	0.000000	23742.437500	25802.125000	NA	1
lifecycle-followup	p12-b	paced-128-128	1	32	1988.093750	0.000000	23760.125000	25777.093750	NA	1
lifecycle-followup	p12-b	paced-128-128	2	32	2024.062500	0.000000	23287.968750	25342.500000	NA	1
lifecycle-followup	p12-b	paced-128-128	3	32	1987.687500	0.000000	23778.531250	25795.187500	NA	1
lifecycle-followup	p12-b	paced-128-128	4	32	2067.781250	0.000000	23697.687500	25794.906250	NA	1
lifecycle-followup	p12-b	paced-128-128	5	32	2030.187500	0.000000	23709.187500	25770.062500	NA	1
lifecycle-followup	p12-b	paced-128-128	6	32	2004.593750	0.000000	23405.656250	25438.906250	NA	1
lifecycle-followup	p12-b	paced-128-128	7	32	2017.218750	0.000000	23771.468750	25817.312500	NA	1
lifecycle-followup	p12-b	paced-128-128	8	32	2000.468750	0.000000	23396.968750	25426.125000	NA	1
lifecycle-followup	p12-b	paced-128-128	9	32	2024.843750	0.000000	24148.656250	26202.250000	NA	1
lifecycle-followup	p12-b	paced-128-128	10	32	2000.281250	0.000000	23407.125000	25434.937500	NA	1
lifecycle-followup	p12-b	paced-128-128	11	32	1971.593750	0.000000	23417.343750	25417.062500	NA	1
lifecycle-followup	p12-b	paced-128-128	12	32	2065.187500	0.000000	23648.906250	25745.843750	NA	1
lifecycle-followup	p12-b	paced-128-128	13	32	1981.125000	0.000000	23416.406250	25426.406250	NA	1
lifecycle-followup	p12-b	paced-128-128	14	32	1977.625000	0.000000	23462.718750	25468.843750	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	0	32	0.000000	236090.937500	474690.781250	710808.531250	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	1	32	0.000000	235916.625000	474810.687500	710742.906250	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	2	32	0.000000	235497.312500	474247.812500	709760.968750	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	3	32	0.000000	235671.968750	474808.125000	710496.218750	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	4	32	0.000000	235507.875000	474807.937500	710331.531250	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	5	32	0.000000	236098.843750	474661.156250	710775.781250	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	6	32	0.000000	235657.093750	474909.125000	710582.000000	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	7	32	0.000000	235733.875000	475064.281250	710813.843750	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	8	32	0.000000	235641.125000	474574.156250	710230.937500	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	9	32	0.000000	235448.968750	475628.062500	711092.625000	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	10	32	0.000000	235921.031250	474857.000000	710794.656250	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	11	32	0.000000	235639.750000	477486.250000	713141.593750	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	12	32	0.000000	235740.718750	475234.968750	710991.437500	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	13	32	0.000000	235669.843750	474836.500000	710521.968750	NA	1
lifecycle-followup	p12-b	reuse-4096-4096	14	32	0.000000	235559.031250	474556.031250	710131.062500	NA	1
lifecycle-followup	p12-b	reuse-4096-64	0	32	0.000000	2341.562500	6950.125000	9309.468750	NA	1
lifecycle-followup	p12-b	reuse-4096-64	1	32	0.000000	2349.625000	6934.593750	9300.500000	NA	1
lifecycle-followup	p12-b	reuse-4096-64	2	32	0.000000	2480.062500	6912.687500	9408.468750	NA	1
lifecycle-followup	p12-b	reuse-4096-64	3	32	0.000000	2483.000000	6947.781250	9446.250000	NA	1
lifecycle-followup	p12-b	reuse-4096-64	4	32	0.000000	2487.812500	6915.031250	9418.781250	NA	1
lifecycle-followup	p12-b	reuse-4096-64	5	32	0.000000	2486.187500	6900.281250	9402.187500	NA	1
lifecycle-followup	p12-b	reuse-4096-64	6	32	0.000000	2484.531250	6901.531250	9401.812500	NA	1
lifecycle-followup	p12-b	reuse-4096-64	7	32	0.000000	2482.750000	6903.968750	9402.437500	NA	1
lifecycle-followup	p12-b	reuse-4096-64	8	32	0.000000	2483.312500	6941.625000	9440.843750	NA	1
lifecycle-followup	p12-b	reuse-4096-64	9	32	0.000000	2479.187500	6928.343750	9423.250000	NA	1
lifecycle-followup	p12-b	reuse-4096-64	10	32	0.000000	2478.781250	6910.750000	9405.281250	NA	1
lifecycle-followup	p12-b	reuse-4096-64	11	32	0.000000	2478.625000	6909.937500	9404.281250	NA	1
lifecycle-followup	p12-b	reuse-4096-64	12	32	0.000000	2542.343750	6893.062500	9451.250000	NA	1
lifecycle-followup	p12-b	reuse-4096-64	13	32	0.000000	2480.906250	6917.437500	9414.031250	NA	1
lifecycle-followup	p12-b	reuse-4096-64	14	32	0.000000	2478.968750	6929.343750	9424.125000	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	0	32	2053.562500	0.000000	8222.718750	10292.781250	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	1	32	2132.875000	0.000000	8318.468750	10467.500000	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	2	32	2147.156250	0.000000	8263.343750	10426.343750	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	3	32	2225.000000	0.000000	8266.875000	10508.062500	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	4	32	2270.531250	0.000000	8244.593750	10533.406250	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	5	32	2210.343750	0.000000	8303.562500	10529.750000	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	6	32	2204.843750	0.000000	8239.906250	10460.531250	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	7	32	2211.000000	0.000000	8475.562500	10702.625000	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	8	32	2091.781250	0.000000	8241.218750	10348.906250	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	9	32	1778.250000	0.000000	8191.218750	9985.218750	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	10	32	1889.656250	0.000000	8375.125000	10281.343750	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	11	32	1550.750000	0.000000	8126.250000	9693.125000	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	12	32	1832.625000	0.000000	8255.187500	10103.750000	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	13	32	2101.968750	0.000000	8207.281250	10324.937500	NA	1
lifecycle-followup	unpatched-b	serial-4096-64	14	32	2194.343750	0.000000	8171.218750	10382.062500	NA	1
