experiment	case	metric	point	sample	operations	warmups	mean_ns
stage-followup	continuous	rmdir_ns	A1	2	128	16	9713.8515625
stage-followup	continuous	rmdir_ns	A1	3	128	16	9748.96875
stage-followup	continuous	rmdir_ns	A1	4	128	16	9716.7109375
stage-followup	continuous	rmdir_ns	A1	5	128	16	9711.8828125
stage-followup	continuous	rmdir_ns	A1	6	128	16	9700.6796875
stage-followup	continuous	rmdir_ns	A1	7	128	16	9704.7265625
stage-followup	continuous	rmdir_ns	A1	8	128	16	9707.2578125
stage-followup	continuous	rmdir_ns	A1	9	128	16	9760.7109375
stage-followup	continuous	rmdir_ns	B1	1	128	16	7956.5
stage-followup	continuous	rmdir_ns	B1	2	128	16	7527.34375
stage-followup	continuous	rmdir_ns	B1	3	128	16	7531.6953125
stage-followup	continuous	rmdir_ns	B1	4	128	16	7571.921875
stage-followup	continuous	rmdir_ns	B1	5	128	16	7521.3359375
stage-followup	continuous	rmdir_ns	B1	6	128	16	7610.5078125
stage-followup	continuous	rmdir_ns	B1	7	128	16	7541.171875
stage-followup	continuous	rmdir_ns	B1	8	128	16	7525.9453125
stage-followup	continuous	rmdir_ns	B1	9	128	16	7643.109375
stage-followup	continuous	rmdir_ns	B2	1	128	16	7544.7734375
stage-followup	continuous	rmdir_ns	B2	2	128	16	7556.28125
stage-followup	continuous	rmdir_ns	B2	3	128	16	7579.1796875
stage-followup	continuous	rmdir_ns	B2	4	128	16	7538.7265625
stage-followup	continuous	rmdir_ns	B2	5	128	16	7601.0078125
stage-followup	continuous	rmdir_ns	B2	6	128	16	7525.6171875
stage-followup	continuous	rmdir_ns	B2	7	128	16	7558.015625
stage-followup	continuous	rmdir_ns	B2	8	128	16	7543.6796875
stage-followup	continuous	rmdir_ns	B2	9	128	16	7572.0625
stage-followup	continuous	rmdir_ns	A2	1	128	16	9685.640625
stage-followup	continuous	rmdir_ns	A2	2	128	16	9745.140625
stage-followup	continuous	rmdir_ns	A2	3	128	16	9741.2890625
stage-followup	continuous	rmdir_ns	A2	4	128	16	9701.8515625
stage-followup	continuous	rmdir_ns	A2	5	128	16	9686.546875
stage-followup	continuous	rmdir_ns	A2	6	128	16	9708.5078125
stage-followup	continuous	rmdir_ns	A2	7	128	16	9693.9921875
stage-followup	continuous	rmdir_ns	A2	8	128	16	9816.578125
stage-followup	continuous	rmdir_ns	A2	9	128	16	9719.1875
stage-followup	continuous	cycle_ns	A1	1	128	16	33637.3046875
stage-followup	continuous	cycle_ns	A1	2	128	16	33071.640625
stage-followup	continuous	cycle_ns	A1	3	128	16	29772.9921875
stage-followup	continuous	cycle_ns	A1	4	128	16	30546.7578125
stage-followup	continuous	cycle_ns	A1	5	128	16	30438.3046875
stage-followup	continuous	cycle_ns	A1	6	128	16	29716.421875
stage-followup	continuous	cycle_ns	A1	7	128	16	29822.1796875
stage-followup	continuous	cycle_ns	A1	8	128	16	29922.765625
stage-followup	continuous	cycle_ns	A1	9	128	16	30463.4765625
stage-followup	continuous	cycle_ns	B1	1	128	16	33971.2578125
stage-followup	continuous	cycle_ns	B1	2	128	16	30288.734375
stage-followup	continuous	cycle_ns	B1	3	128	16	28303
stage-followup	continuous	cycle_ns	B1	4	128	16	27699.5546875
stage-followup	continuous	cycle_ns	B1	5	128	16	28537.859375
stage-followup	continuous	cycle_ns	B1	6	128	16	28689.1640625
stage-followup	continuous	cycle_ns	B1	7	128	16	27876.90625
stage-followup	continuous	cycle_ns	B1	8	128	16	28495.3828125
stage-followup	continuous	cycle_ns	B1	9	128	16	27818.75
stage-followup	continuous	cycle_ns	B2	1	128	16	33014.3046875
stage-followup	continuous	cycle_ns	B2	2	128	16	30514.8359375
stage-followup	continuous	cycle_ns	B2	3	128	16	27888.8125
stage-followup	continuous	cycle_ns	B2	4	128	16	27692.984375
stage-followup	continuous	cycle_ns	B2	5	128	16	27713.828125
stage-followup	continuous	cycle_ns	B2	6	128	16	27786.453125
stage-followup	continuous	cycle_ns	B2	7	128	16	28453.4921875
stage-followup	continuous	cycle_ns	B2	8	128	16	28539.9296875
stage-followup	continuous	cycle_ns	B2	9	128	16	28574.15625
stage-followup	continuous	cycle_ns	A2	1	128	16	34131.2734375
stage-followup	continuous	cycle_ns	A2	2	128	16	32984.4296875
stage-followup	continuous	cycle_ns	A2	3	128	16	30582.015625
stage-followup	continuous	cycle_ns	A2	4	128	16	30515.9140625
stage-followup	continuous	cycle_ns	A2	5	128	16	29828.125
stage-followup	continuous	cycle_ns	A2	6	128	16	29853.640625
stage-followup	continuous	cycle_ns	A2	7	128	16	29774.265625
stage-followup	continuous	cycle_ns	A2	8	128	16	30041.859375
stage-followup	continuous	cycle_ns	A2	9	128	16	29826.9921875
stage-followup	continuous	workload_wall_per_cycle_ns	A1	1	128	16	38277.6015625
stage-followup	continuous	workload_wall_per_cycle_ns	A1	2	128	16	37285.6484375
stage-followup	continuous	workload_wall_per_cycle_ns	A1	3	128	16	33978.3125
stage-followup	continuous	workload_wall_per_cycle_ns	A1	4	128	16	34747.640625
stage-followup	continuous	workload_wall_per_cycle_ns	A1	5	128	16	34674.6484375
stage-followup	continuous	workload_wall_per_cycle_ns	A1	6	128	16	33998.6796875
stage-followup	continuous	workload_wall_per_cycle_ns	A1	7	128	16	34057.078125
stage-followup	continuous	workload_wall_per_cycle_ns	A1	8	128	16	34156.2890625
stage-followup	continuous	workload_wall_per_cycle_ns	A1	9	128	16	34718.2109375
